,a,b,ca,cb,taxo,geom,mixed,prec,rec,f1,acc,model,hsize,gsize,cos,euc,neuc,taxcos,taxeuc,taxneuc
0,dbo:Cleric,dbo:NaturalEvent,17063,249,3.333333333333333,0.5120407850859805,1.9226870592096568,0.9571428571428572,0.9852941176470588,0.9710144927536232,0.9710144927536232,TransH_50d_120e,490.83722273567474,2061.234338933833,0.8893854875212467,5.589391266050356,1.3337057303027882,0.7679392969177585,0.6654676274018471,0.8080877964639215
1,dbo:Cleric,dbo:Royalty,17063,11505,0.6666666666666666,0.1417657782679135,0.4042162224672901,0.6103896103896104,0.5802469135802469,0.5949367088607596,0.5733333333333334,TransH_50d_120e,13743.336250350043,14011.060452371194,0.8539432493583662,6.541413288426286,1.3068613157931996,0.4696783593396413,0.43715017068312256,0.5172199300830226
2,dbo:Cleric,dbo:Bridge,17063,4289,4.116666666666666,0.5835697661032923,2.3501182163849794,0.986842105263158,1.0,0.9933774834437086,0.9933333333333332,TransH_50d_120e,6854.927594604722,8554.71840565193,0.9138229047679576,6.47162111607285,1.3519045119888886,0.8621113373487894,0.7976740704412207,0.8970561813259034
3,dbo:Cleric,dbo:MountainRange,17063,2011,3.6666666666666665,0.5065471519796328,2.08660690932315,0.9761904761904762,1.0,0.9879518072289156,0.9866666666666668,TransH_50d_120e,3597.9545978819338,5857.789088043368,0.8399592776755531,5.552135159557988,1.2961167213453835,0.7800416493111557,0.6985902265136239,0.8304479137026275
4,dbo:Cleric,dbo:Curler,17063,771,1.1166666666666665,0.213757471866742,0.6652120692667043,0.734375,0.5875,0.6527777777777778,0.6666666666666666,TransH_50d_120e,1475.3362117304025,3627.0612070931443,0.8995423917227555,7.582119309269672,1.341299662061208,0.5385331643600175,0.5430299080366248,0.5765291247184796
5,dbo:Cleric,dbo:Disease,17063,314,2.833333333333333,0.4824035944932557,1.6578684639132943,0.9610389610389609,0.9866666666666668,0.9736842105263156,0.9733333333333334,TransH_50d_120e,616.6521263739426,2314.6883159509825,0.8424719804193874,6.202370817679317,1.2980539129168616,0.6931882787459529,0.6470158595891009,0.7430820430801506
6,dbo:Cleric,dbo:MilitaryConflict,17063,14077,3.6666666666666665,0.5620667220306401,2.1143666943486528,0.9589041095890408,1.0,0.9790209790209792,0.98,TransH_50d_120e,15426.836929993578,15498.253159630607,0.8333243894177343,5.70980228247879,1.2909875207899837,0.7769395488128316,0.707429431228406,0.8286943125987978
7,dbo:Cleric,dbo:Colour,17063,879,2.833333333333333,0.4408212720644073,1.63707730269887,1.0,1.0,1.0,1.0,TransH_50d_120e,1671.8734812172556,3872.7738121403336,0.9004543737089598,6.371841587013915,1.3419794139322405,0.7202975840014929,0.6565168056047936,0.7580995504353178
8,dbo:Cleric,dbo:Building,17063,80911,3.6666666666666665,0.5251300854275585,2.0958983760471126,0.9577464788732394,0.9855072463768116,0.9714285714285714,0.9733333333333334,TransH_50d_120e,28182.66872843816,37156.21607483728,0.8946548079172403,5.924220005198997,1.337650782466964,0.805614202310657,0.719450213433922,0.8446478215913258
9,dbo:Cleric,dbo:Eukaryote,17063,296366,3.333333333333333,0.4848235211952013,1.9090784272642671,1.0,1.0,1.0,1.0,TransH_50d_120e,32268.188699833136,71111.834865935,0.800252202972514,7.134098313732437,1.2651104323121474,0.7262655873281431,0.7520676843185142,0.7846360345422152
10,dbo:Cleric,dbo:FilmFestival,17063,962,3.6666666666666665,0.548702741241715,2.107684703954191,0.9859154929577464,0.9722222222222222,0.979020979020979,0.98,TransH_50d_120e,1821.3155062413311,4051.4942922334226,0.8665290898030997,5.834410252116318,1.3164566759321021,0.7924641987556187,0.7144152589159749,0.8374018564135569
11,dbo:Cleric,dbo:Play,17063,1991,3.6666666666666665,0.4813411438849988,2.0740039052758332,1.0,1.0,1.0,1.0,TransH_50d_120e,3565.910884853574,5828.587564753576,0.8504772720877085,5.840293407869163,1.3042064806522842,0.7849592717999546,0.7147450830232775,0.8332136879586884
12,dbo:Cleric,dbo:Hotel,17063,1321,3.916666666666666,0.5632298573160526,2.2399482619913598,1.0,0.9859154929577464,0.9929078014184396,0.9933333333333332,TransH_50d_120e,2452.156549173194,4747.654473526897,0.8746440563317421,6.161220583618152,1.3226065600409989,0.8226667512945991,0.7591454964933048,0.8659128654882935
